NUTS_ID,NUTS_NAME,year,yhat_ind_G,yhat_ind_M,yhat_air_freight,yhat_vreg_TRL_STRL,yhat_vreg_CAR,yhat_population,yhat_ind_N,yhat_lst_A2000,yhat_ind_I,yhat_crpp_C0000,yhat_crpp_I0000,yhat_marit_freight,yhat_vreg_MOTO,yhat_crpp_P0000,yhat_ind_D,yhat_air_person,yhat_crpp_R0000,yhat_ind_J,yhat_ind_L,yhat_heco_CDD,yhat_wst_DSP_I,yhat_ind_F,yhat_ind_E,yhat_ind_C,yhat_ind_H,yhat_vreg_TOT_X_TM,yhat_wst_RCV_E,yhat_ind_B,yhat_crpp_G0000,yhat_heco_HDD,yhat_marit_person,yhatlower_ind_G,yhatlower_ind_M,yhatlower_air_freight,yhatlower_vreg_TRL_STRL,yhatlower_vreg_CAR,yhatlower_population,yhatlower_ind_N,yhatlower_lst_A2000,yhatlower_ind_I,yhatlower_crpp_C0000,yhatlower_crpp_I0000,yhatlower_marit_freight,yhatlower_vreg_MOTO,yhatlower_crpp_P0000,yhatlower_ind_D,yhatlower_air_person,yhatlower_crpp_R0000,yhatlower_ind_J,yhatlower_ind_L,yhatlower_heco_CDD,yhatlower_wst_DSP_I,yhatlower_ind_F,yhatlower_ind_E,yhatlower_ind_C,yhatlower_ind_H,yhatlower_vreg_TOT_X_TM,yhatlower_wst_RCV_E,yhatlower_ind_B,yhatlower_crpp_G0000,yhatlower_heco_HDD,yhatlower_marit_person,yhatupper_ind_G,yhatupper_ind_M,yhatupper_air_freight,yhatupper_vreg_TRL_STRL,yhatupper_vreg_CAR,yhatupper_population,yhatupper_ind_N,yhatupper_lst_A2000,yhatupper_ind_I,yhatupper_crpp_C0000,yhatupper_crpp_I0000,yhatupper_marit_freight,yhatupper_vreg_MOTO,yhatupper_crpp_P0000,yhatupper_ind_D,yhatupper_air_person,yhatupper_crpp_R0000,yhatupper_ind_J,yhatupper_ind_L,yhatupper_heco_CDD,yhatupper_wst_DSP_I,yhatupper_ind_F,yhatupper_ind_E,yhatupper_ind_C,yhatupper_ind_H,yhatupper_vreg_TOT_X_TM,yhatupper_wst_RCV_E,yhatupper_ind_B,yhatupper_crpp_G0000,yhatupper_heco_HDD,yhatupper_marit_person
ES51,Cataluña,2020,4673.815005666359,2442.4098724034775,140.4801721755862,2713.2243699317614,113186.28189446063,232952.80616119283,1232.7214203650492,18.544350662856424,1620.0310166509641,10.263543203413356,0.5258433576155139,2562.2995835725983,27451.9044377769,0.3061790496478984,51.94786869837922,55273.0850641976,0.017832170895857043,566.9023001388728,1442.8602389271139,197.42123497283904,-2915.081033175098,2000.8055558656035,35.6128692956062,954.5441878410234,1260.3170606968984,141129.58903802634,65019.165625157286,5.127613112622704,3.563390543081553,1820.8874467101818,0.0,4616.322168735745,2338.2100733161005,126.3082971373918,2537.1469674165746,108511.65628038486,231544.89669206526,1189.3914846441319,15.834742125777518,1589.7649749058198,10.131316158174046,0.476606628922877,985.2048465887392,26611.06149733972,0.19929761953560335,47.81294387730106,51303.01021552716,-0.00281134459343842,546.1031666691545,1307.4439468061314,142.92977196255336,-7349.745664819041,1805.913732791081,33.52339213887794,913.2060707522713,1216.475659870471,135882.4782457666,51112.00513868888,4.423517686491125,3.0834187025961706,1627.0914078546311,-1.3608041086816743e-09,4729.131185698681,2545.1786967561525,154.94476332423955,2872.083000513987,118162.19434273744,234312.74492948595,1277.2516964236772,21.267533236138945,1651.3059975141825,10.387065468933399,0.5753031539432821,4229.118200585726,28303.91239131432,0.42293265803183333,55.80773081204622,59434.9134786003,0.03847489214268376,587.0492439451875,1562.0792742426806,255.43211786228628,1686.5452682481523,2200.202037546406,37.681061723695414,994.9019271279999,1301.8181535639721,146374.63700013893,78451.68352425218,5.794342301180749,4.067413146101199,2004.7377966628114,1.3103301329596203e-09
ES51,Cataluña,2021,4628.061756279235,2465.1354804668413,143.53421164733777,2758.760824775009,114665.15365954793,233403.0876053478,1275.3624664715358,18.84008339291864,1622.8662866867821,10.146883814292249,0.546637567047225,2609.983741921107,28171.50716769966,0.31584680605996107,52.93778154728464,57360.913091053204,0.018801282023726783,587.8479233361419,1497.2005223824697,209.5841901829715,-3604.9223268438727,1937.9944907741424,35.83110307948351,930.2909446278035,1247.1887239988118,142537.76564877128,68457.10609547397,4.921106453061787,3.7405494429530735,1774.80346871925,0.0,4572.011051386837,2360.932952523281,130.1470329397781,2569.9470264509537,109873.41582059914,232074.50545232656,1232.876662734907,16.36452987778324,1592.2507252245646,10.015946154248676,0.4991520067017542,1006.2846785604681,27325.019205927285,0.207381397033165,48.90457278713982,53234.62291752295,0.00022722415771737572,567.4846214647749,1361.1501151581324,152.9501420912818,-8075.538284652037,1759.449800660881,33.74210581519575,886.2659207612628,1203.82598470875,137604.3166765599,55825.353146583875,4.21157316415954,3.2399779985348753,1592.213693435466,-1.655789376974774e-09,4683.200300094654,2564.896764339796,156.71123688612428,2931.187156287856,119534.15120257947,234840.03089122262,1320.8935794733084,21.356298701267985,1653.4772334710779,10.275810288711847,0.5925263262976953,4095.7052594637216,29060.91464083007,0.42807942380820274,57.09390270594044,61583.92886237073,0.03854082842824085,608.2572540211975,1630.581707032622,266.15162507417955,907.8058848219613,2146.9152949647178,37.676446709689024,972.9608815553111,1291.5198883205348,148033.88013097088,82525.88641987967,5.620864162568038,4.2621912902917005,1952.5848455788791,1.5795685514768587e-09
ES51,Cataluña,2022,4587.305608182044,2478.4468011244885,146.11419761334838,2817.9161539446127,115432.27048944321,233776.20238254382,1308.4215478884616,19.05847787369493,1628.711424766775,10.044567481020435,0.5721097607433775,2676.681431352482,28867.545480384513,0.3260520177522184,54.36207947523793,59500.08861902257,0.019688873003579653,605.2422656700805,1540.5674844953141,222.7594811846302,-4439.5398019012355,1895.4504301846064,36.1754278166843,901.6538404334127,1224.85452908437,143444.86510082314,71932.58862406983,4.694232817076644,3.910630024791286,1733.3689690738347,0.0,4529.626048112289,2377.6067442652366,131.8376724804693,2631.8713310971884,110488.5479146015,232312.76634914105,1263.299477134571,16.472691664698896,1598.616076754208,9.919483878473294,0.5280015363002507,1103.7756133520465,28044.658710555737,0.21692015555599767,50.24272781324151,55534.17920630508,0.0005002777016576385,585.1631426479212,1411.3433142985887,164.0536524632609,-8834.433710378858,1686.318783736773,34.219590424522124,860.1432503311895,1181.128856488444,138303.81611895384,57797.28480384398,3.9957858370489343,3.3888893281975108,1549.3141465041872,-1.8221164776914435e-09,4640.163458293678,2577.6712639719835,159.4232253155784,2981.969611518757,119925.08481914148,235050.81788071964,1353.9957012681766,21.584295850652975,1659.6274165945397,10.164980461148613,0.622850833855921,4231.982267709508,29689.296674521953,0.4360859191899913,58.17074392972397,63389.73362183256,0.04094990714424667,625.6409715126819,1663.744169224335,277.7367729240104,-3.0069090972517127,2086.287678337552,38.159976635937554,940.2608582814998,1269.6245752563182,148780.47660604183,84976.33465791887,5.4511907455799955,4.406610720438219,1911.0963717787038,1.880267447726903e-09
ES51,Cataluña,2023,4551.574737027537,2482.3513914480905,148.22153284550222,2890.6827464482803,115488.482430267,234074.16788395157,1331.9118404098601,19.19924788856834,1637.5791256767077,9.95653980588733,0.6022516178437594,2762.4458636667905,29540.096049836196,0.3367967337602671,56.220550202140636,61690.32451807193,0.020494707453837885,619.0853833257041,1572.9709564690029,236.93589869706963,-5419.396488579754,1873.1832110132589,36.64638584843711,868.6329066978913,1193.3222997096273,143851.76269389899,75444.67994792876,4.446873889199582,4.073602476737808,1696.6243474530534,0.0,4492.520800076453,2379.8517109334816,133.44710882483233,2719.9961829700314,110831.94304217919,232634.991729924,1284.5016269772648,16.561541262829543,1603.3924256035018,9.811583498051974,0.5579768100555705,1307.5805666079418,28698.21451897586,0.2231589296755507,52.149139581763635,57553.2712422125,0.002185516704894315,600.6931207276059,1434.318267096055,184.72957798640442,-9643.269628754486,1674.7859936630932,34.80887935134586,828.7473334105275,1150.0816220544575,138393.2640245072,62141.012009799626,3.707996854255669,3.6070303628926266,1515.2945970278743,-2.7993261706575467e-09,4610.2981798702685,2583.5083928196755,162.71161258476695,3062.81323653987,120232.3693769581,235447.8705820495,1376.6282140309754,21.809608516494755,1668.4730230019657,10.090478608984096,0.6499530602785313,4325.594319472886,30411.158103123817,0.4433131394136253,60.117774112557306,66051.76402734726,0.04038809244396303,639.4371527140811,1707.6482218348262,293.18524042851993,-516.2312523179962,2059.637460995809,38.59761535201341,909.8965867373795,1237.2089165385323,149086.03149367057,88387.1595595452,5.12964795892392,4.570017075460229,1880.5402313782386,2.4821086455525656e-09
ES51,Cataluña,2024,4599.837761363886,2519.826273874203,155.66708519121926,2909.802880744842,117251.97217761146,233643.57764672514,1392.0909872346483,18.4882753567451,1667.0195356279146,9.81247179740854,0.5978694438997372,2999.30628418041,30495.771047475722,0.3534420892218844,57.3683394511265,62886.76045588527,0.020658789211808727,642.5448369994356,1655.244024959163,212.9093475621422,-7751.5968395811215,1877.399582929706,38.70416222109829,858.579735010508,1195.3780664845253,145231.401755362,75888.21067933428,4.109419159913367,4.154414477891652,1778.5328859241135,0.0,4539.697029101508,2423.781493536393,142.45602872784346,2733.7926826279136,112170.10152452909,232337.75415479834,1344.4553061150607,15.841902870201643,1637.2039823868527,9.672423442791027,0.5493057467673795,1409.3907800321226,29622.508736100048,0.23942934059199714,53.7279399122571,58816.66958666384,0.0003371090882692277,622.6956253685337,1529.5551728640987,160.4686835147263,-12052.685947880225,1688.7415906036053,36.73896820454031,818.7790448407737,1152.3970611807438,139817.44969700702,61994.181848376385,3.4234668033411015,3.649223322822229,1587.1633019528745,-3.5246251281487802e-09,4657.28473331744,2624.1694008389545,169.7552006778504,3094.153580820573,122297.70056286357,234881.55365442787,1437.7435975428236,21.06407974177853,1698.769709784863,9.962275477533169,0.6439427418630117,4534.815539197183,31336.908086347707,0.46065488406269167,61.58813349900274,66769.0745580245,0.03876420569072311,662.8466407116648,1789.7826999944473,266.964736900032,-3026.240883201134,2089.94559910756,40.51579324699983,897.1797684972356,1236.005422466927,150302.08645675087,89631.83467011273,4.798108038445,4.686928952342764,1972.8097768658322,3.409022453264531e-09
ES51,Cataluña,2025,4554.084511976705,2542.5518819376257,158.7211246629728,2955.339335588013,118730.84394270457,234093.8590908858,1434.732033341204,18.784008086808026,1669.8548056637176,9.695812408287232,0.6186636533314251,3046.9904425287564,31215.37377739857,0.3631098456339422,58.35825230002882,64974.58848274076,0.021627900339679176,663.4904601967231,1709.584308414585,225.07230277227654,-8441.438133248623,1814.5885178380786,38.92239600497439,834.326491797299,1182.2497297864938,146639.5783661118,79326.1511496514,3.9029125003524108,4.331573377763241,1732.4489079331256,0.0,4496.960626121694,2444.468268350821,145.78547741503743,2782.734461387483,113992.6668329745,232751.2063016047,1391.0584768915287,16.093237285527906,1638.9242833803578,9.534618861306255,0.5728595241701286,1535.8963980366855,30316.586504802748,0.25964391186014124,54.32530464231732,60662.81907604315,0.0022297363726133442,642.381044995224,1580.2416237392285,167.65145656971822,-12837.084141868138,1617.5807233425066,36.88079106155947,792.4273027348222,1135.744717797354,141375.47877643292,66500.08837667173,3.1851997320861485,3.823486896348652,1553.0340502107513,-4.861255561867943e-09,4612.108794294554,2643.92613885417,172.09836249798036,3138.4071737825175,123241.53381972849,235498.1570181019,1478.6388218318216,21.43005226812935,1701.2854145063636,9.85569137476916,0.6662616627125681,4632.210771519828,32043.941528997875,0.4674134508034578,62.34723674256394,69307.06351057862,0.041276628297385834,685.0106992393376,1846.3337468526688,282.8815462847471,-4085.1487468126443,2004.6965542193016,40.89854922279351,875.205286733172,1226.70180450117,151992.90235555524,92792.20551897124,4.5935325898129635,4.834975291506756,1919.5140143308154,4.181906202066058e-09
ES51,Cataluña,2026,4513.328363879379,2555.863202595289,161.3011106289805,3014.49466475759,119497.96077260199,234466.9738680818,1467.7911147581485,19.002402567585687,1675.6999437436648,9.593496075015391,0.644135847027586,3113.688131959848,31911.412090083242,0.37331505732618997,59.78255022798022,67113.7640107109,0.022515491319533256,680.8848025306737,1752.9512705274408,238.24759377397083,-9276.055608303672,1772.0444572483807,39.26672074217258,805.6893876029085,1159.9155348720692,147546.67781816522,82801.63367825044,3.6760388643674933,4.501653959601589,1691.0144082875445,0.0,4451.008932675107,2447.238092460425,148.85361287020592,2832.794515454721,114832.77430694929,233087.2605419368,1425.0270127773358,16.512940048502575,1643.6248333266083,9.415305509183183,0.594816786089145,1576.7531152858874,31030.8257747116,0.2619512910929415,55.863383441458794,62761.61646584902,0.0032593691782290602,662.1007578874639,1620.278468141592,184.35460668935082,-13859.583514901125,1571.0033337294085,37.21483667069516,763.3301560017338,1116.355011362677,142031.68792312124,70318.79820176477,3.0189212011086357,3.9975021968343905,1506.2934489106935,-5.823067185583212e-09,4572.770028467969,2660.688113015423,174.14509207571408,3180.4068877017867,124524.46917018054,235866.09850373704,1509.985561564354,21.447211036906342,1705.6309370003535,9.772836122165888,0.6922801247002388,4659.036213508532,32742.745249087464,0.47985700731623143,63.61654085232168,71382.70288254296,0.042005887818948,701.9638931701597,1874.7071451510776,293.25284972133994,-4462.3265446262385,1955.447630866213,41.14460425376717,844.9708034233162,1201.2575368286698,153417.722064864,96508.46436410696,4.3829532521291785,5.023610525451422,1876.0816342262067,5.420690172838153e-09
ES51,Cataluña,2027,4477.597492724853,2559.7677929188167,163.408445861129,3087.261257261334,119554.17271341707,234764.93936947445,1491.2814072794322,19.143172582459222,1684.5676446535676,9.50546839988269,0.6742777041280112,3199.4525642741637,32583.962659534653,0.3840597733342374,61.641020954886756,69303.99990976116,0.02332132576979152,694.7279201862827,1785.35474250105,252.42401128643849,-10255.912294982088,1749.777238077178,39.737678773925076,772.6684538673892,1128.3833054972529,147953.5754112328,86313.72500211147,3.428679936490962,4.664626411548135,1654.269786666705,0.0,4417.990521308501,2450.176293005824,149.78169148244655,2907.941839466061,115172.64823899294,233440.58058427204,1445.1029743168724,16.756241763245377,1653.6394375351856,9.31036611721704,0.6263561811660875,1682.774458398496,31699.646592543606,0.27614815638279244,57.734132920818766,65197.36139357759,0.0038187248112242526,673.7909755064633,1659.7605226981068,198.23916872671646,-15082.079618401429,1548.9865555350516,37.739020552890175,728.8043039037675,1085.3838814720425,142352.0765235245,73498.05899044305,2.8117757371335426,4.150315522330963,1465.0698111690388,-7.248254150701083e-09,4539.326714947606,2656.989636291996,177.08844234037238,3260.610731681747,124530.53440397649,236222.48039903474,1535.6969453186857,21.683326701023674,1718.110309077837,9.699228464562896,0.7257265990175357,4785.383812705529,33490.582116092584,0.48887675117263624,65.39877133166165,73605.25711271474,0.04348307988560533,716.5277933985759,1913.0988872072535,304.27938119439807,-5857.6806636460315,1944.0969004778462,41.725747943650724,813.4345759569774,1172.678818021989,153261.343467771,100121.03206206864,4.156001358111025,5.156929978204129,1829.1829172901398,6.88714335469164e-09
ES51,Cataluña,2028,4525.860517061224,2597.242675345021,170.85399820685484,3106.381391557719,121317.66246076502,234334.3491322351,1551.4605541043013,18.432200050635636,1714.0080546047386,9.361400391403922,0.6698955301839173,3436.312984787788,33539.637657174586,0.4007051287958563,62.7888102038695,70500.43584757314,0.023485407527762382,718.187373860058,1867.6278109913474,228.39746015146503,-12588.112645983878,1753.993609993519,41.795455146586725,762.6152821800824,1130.439072272239,149333.21447269613,86757.2557335138,3.0912252072052,4.745438412701965,1736.1783251378247,0.0,4461.9547493729815,2499.0629473477616,157.32166287453265,2927.1652242087616,116605.1971238628,232854.8733759406,1511.4656610509574,15.859698616342136,1683.2777807654663,9.147001688747354,0.6215914611112208,1777.7430980053527,32507.1608154032,0.2999547129750194,58.90230758144381,66203.18613613726,0.004884116942448418,696.2407846804414,1745.4746743082064,177.08966884619662,-17237.603451721465,1557.0836220305725,39.82894298758478,721.0813781480067,1088.6822046817576,144057.6425737709,72971.58683441048,2.426860165538576,4.234848230766732,1547.8321742808296,-8.92800308682163e-09,4583.364132885962,2699.4395327186176,184.55895623276535,3296.1741420979665,126223.4277118911,235783.41337470186,1596.9511610610505,20.975358760167367,1744.4198817878282,9.583752975150265,0.7183682694612462,5029.022064566982,34534.69295772761,0.5150841002465871,66.66157504170924,74626.6875275522,0.043490659875538615,738.7454078301228,1996.7309947827594,288.1667147884739,-8185.050035352712,1945.2178101729914,43.765900116044705,803.4546288707263,1175.2604191441314,154740.64067029068,99533.88101454295,3.798704615008227,5.255823838322847,1918.194099376025,8.006220816576474e-09
ES51,Cataluña,2029,4480.107267673824,2619.968283408404,173.90803767859632,3151.9178464010015,122796.53422586003,234784.63057641094,1594.1016002108292,18.727932780701142,1716.8433246405107,9.24474100228251,0.690689739615679,3483.9971431356726,34259.240387096834,0.410372885207897,63.77872305277114,72588.263874431,0.024454518655634746,739.1329970573267,1921.9680944466734,240.56041536169482,-13277.953939647188,1691.1825449017197,42.013688930458315,738.3620389668072,1117.3107355741695,150741.39108344965,90195.19620383861,2.8847185476441446,4.922597312573779,1690.0943471465328,0.0,4415.0377113631475,2516.916162463188,159.73932172023805,2972.868771474438,118156.18103269915,233436.27719143388,1548.5023579191825,16.31021518377953,1683.5104471389116,8.989562189762273,0.6430367811511651,2003.504179157689,33229.27503231776,0.30232433409395976,59.769229832209746,68755.55027289041,0.005222763984104388,718.6485649778217,1790.8391785502608,188.60575969114015,-18035.019361325863,1484.9089797543818,40.01647244172965,699.0661151141593,1072.191800382154,144705.07218480788,77937.28036904108,2.1365920801139744,4.466109847444448,1511.7645482836454,-1.01835808420263e-08,4543.7656001977575,2722.393885045419,187.78427060352138,3347.725377821411,127405.11616823392,236103.9433189319,1638.4127638114164,21.271457788996592,1748.836545955575,9.49219037718574,0.7388055658995227,5037.325903504102,35332.85886665611,0.5218487139444522,67.72915659616578,76604.69368554222,0.045196285336026695,759.0948020475548,2054.5330254290525,297.89050589089703,-8809.153698159855,1886.5969149524378,43.90768795668973,777.5440342025719,1164.1569736208146,156392.36163733402,103370.87835534962,3.5991094621309796,5.406775133399026,1880.7447231550423,9.471563924797715e-09
ES51,Cataluña,2030,4439.351119576993,2633.279604066197,176.48802364463114,3211.073175570327,123563.65105575857,235157.7453535858,1627.1606816278804,18.94632726147369,1722.688462720549,9.142424669010786,0.7161619333116717,3550.6948325676954,34955.27869978294,0.42057809690017944,65.2030209807222,74727.43940239592,0.025342109635484895,756.527339391322,1965.3350565597552,253.73570636318374,-14112.571414710452,1648.638484312325,42.3580136676659,709.7249347725619,1094.9765406598726,151648.49053550028,93670.67873242094,2.657844911659268,5.092677894411648,1648.6598475016183,0.0,4369.490492559413,2531.39910531517,162.4280278232157,3025.6252537148825,118732.00313136232,233576.07656320126,1582.982400469578,16.193029401779505,1693.5595943429385,8.870120170611061,0.6702728963346196,2102.6416283265357,33962.22699664087,0.30785028623057004,61.42473139813247,70409.61284285554,0.005407952018943123,735.1364075127226,1843.6706460889786,200.97432562098572,-18327.420639736178,1441.8991619609856,40.35491186539026,668.0711660027115,1046.9787620184547,145740.14033841464,79732.54638101546,1.9635417928407741,4.5892925380180065,1474.8787229931293,-1.1458081477412555e-08,4502.4378904508285,2735.3263831022623,189.5134263875254,3400.101805318318,128808.11177686749,236567.66261352022,1670.8052838182928,21.535038840286237,1753.5480918843411,9.396303009772563,0.7632371278282181,5222.578826945986,35989.65318308142,0.5294376562262356,69.29086987929352,78745.27399030262,0.04402862994296601,776.4540759539308,2091.188214390082,309.80434601463776,-9444.6459713017,1854.8962718017415,44.346617128607285,749.3523706832424,1139.0390691943821,157579.97684892916,107528.74514802582,3.3316125460233397,5.56399766199308,1836.3744808913768,1.1014848982602224e-08
